"Rank","Player","Pos","Organization","Level","PA","wRC_plus"
1,"Kris Bryant","3b","Cubs","AAA",33,163
1,"Kris Bryant","3b","Cubs","MLB",340,136
2,"Byron Buxton","of","Twins","AA",268,135
2,"Byron Buxton","of","Twins","MLB",39,35
3,"Addison Russell","ss","Cubs","AAA",46,109
3,"Addison Russell","ss","Cubs","MLB",267,80
4,"Carlos Correa","ss","Astros","AAA",113,107
4,"Carlos Correa","ss","Astros","MLB",141,128
5,"Corey Seager","ss","Dodgers","AA",86,198
5,"Corey Seager","ss","Dodgers","AAA",276,113
6,"Joey Gallo","3b","Rangers","AA",146,191
6,"Joey Gallo","3b","Rangers","AAA",49,84
6,"Joey Gallo","3b","Rangers","MLB",98,97
8,"Joc Pederson","of","Dodgers","MLB",366,140
9,"Francisco Lindor","ss","Indians","AAA",261,116
9,"Francisco Lindor","ss","Indians","MLB",111,58
12,"Jorge Soler","of","Cubs","AAA",16,43
12,"Jorge Soler","of","Cubs","MLB",239,91
13,"Miguel Sano","3b","Twins","AA",272,143
14,"J.P. Crawford","ss","Phillies","High A",95,191
14,"J.P. Crawford","ss","Phillies","AA",193,128
17,"Blake Swihart","c","Red Sox","AAA",80,110
17,"Blake Swihart","c","Red Sox","MLB",141,63
19,"Kyle Schwarber","c","Cubs","AA",243,189
19,"Kyle Schwarber","c","Cubs","AAA",67,174
19,"Kyle Schwarber","c","Cubs","MLB",23,162
20,"Alex Jackson","of","Mariners","Low A",87,132
20,"Alex Jackson","of","Mariners","A",121,39
21,"Rusney Castillo","of","Red Sox","AAA",140,120
21,"Rusney Castillo","of","Red Sox","MLB",77,46
22,"David Dahl","of","Rockies","Low A",16,-26
22,"David Dahl","of","Rockies","AA",189,93
28,"Raul A. Mondesi","ss","Royals","AA",143,83
30,"Dalton Pompey","of","Blue Jays","AA",143,170
30,"Dalton Pompey","of","Blue Jays","AAA",102,59
30,"Dalton Pompey","of","Blue Jays","MLB",91,65
32,"Michael Taylor","of","Nationals","AAA",32,187
32,"Michael Taylor","of","Nationals","MLB",251,80
37,"Steven Souza","of","Rays","MLB",307,107
41,"Austin Meadows","of","Pirates","High A",355,130
45,"Brandon Nimmo","of","Mets","High A",20,65
45,"Brandon Nimmo","of","Mets","AA",248,114
46,"Dilson Herrera","2b","Mets","High A",11,234
46,"Dilson Herrera","2b","Mets","AAA",143,134
46,"Dilson Herrera","2b","Mets","MLB",93,74
47,"Jesse Winker","of","Reds","AA",327,122
53,"Aaron Judge","of","Yankees","AA",280,148
53,"Aaron Judge","of","Yankees","AAA",85,109
54,"Jose Peraza","2b","Braves","AAA",366,90
56,"Maikel Franco","3b/1b","Phillies","AAA",151,166
56,"Maikel Franco","3b/1b","Phillies","MLB",236,131
57,"Yasmany Tomas","3b/of","Diamondbacks","AAA",23,67
57,"Yasmany Tomas","3b/of","Diamondbacks","MLB",268,118
61,"Nick Gordon","ss","Twins","A",331,93
63,"Kevin Plawecki","c","Mets","AAA",38,42
63,"Kevin Plawecki","c","Mets","MLB",175,67
64,"Josh Bell","1b/of","Pirates","AA",360,132
65,"Trea Turner","ss","Padres","AA",254,142
65,"Trea Turner","ss","Nationals","AA",41,149
65,"Trea Turner","ss","Nationals","AAA",61,113
66,"Daniel Robertson","ss","Rays","AA",222,123
67,"Jorge Alfaro","c","Rangers","AA",207,108
72,"Manuel Margot","of","Red Sox","High A",198,113
72,"Manuel Margot","of","Red Sox","AA",80,117
73,"Hunter Renfroe","of","Padres","AA",324,108
76,"J.T. Realmuto","c","Marlins","AAA",13,110
76,"J.T. Realmuto","c","Marlins","MLB",253,76
78,"Jake Lamb","3b","Diamondbacks","AAA",15,183
78,"Jake Lamb","3b","Diamondbacks","MLB",138,106
79,"Stephen Piscotty","of","Cardinals","AAA",359,127
80,"Michael Conforto","of","Mets","High A",206,141
80,"Michael Conforto","of","Mets","AA",160,154
83,"Billy McKinney","of","Cubs","High A",125,179
83,"Billy McKinney","of","Cubs","AA",192,132
84,"Willy Adames","ss","Rays","High A",325,129
85,"D.J. Peterson","3b/1b","Mariners","AA",342,77
86,"Franklin Barreto","ss","Athletics","High A",319,113
87,"Nomar Mazara","of","Rangers","AA",336,126
88,"Andrew Susac","c","Giants","AAA",24,165
88,"Andrew Susac","c","Giants","MLB",120,102
92,"Tim Anderson","ss","White Sox","AA",353,106
93,"Tyrone Taylor","of","Brewers","AA",317,83
94,"Orlando Arcia","ss/2b","Brewers","AA",346,130
95,"Ryan McMahon","3b/1b","Rockies","High A",356,133
97,"Reese McGuire","c","Pirates","High A",279,85
98,"Amed Rosario","ss","Mets","High A",321,98
99,"Rafael Devers","3b","Red Sox","A",307,116
